0.00000 <init Client> [INFO]:	(Logging enabled)
13.33222 <pathGenerator> [DEBUG]:	(adjusted target)
13.33222 <pathGenerator> [DEBUG]:	(Target: (174.50, 298.50))
13.33222 <pathGenerator> [DEBUG]:	(From:   (212.00, 168.00))
13.33222 <pathGenerator> [DEBUG]:	(Angle to target: 1.49 rad)
13.33222 <pathGenerator> [DEBUG]:	(Rotation applied: -1.49 rad)
13.33222 <pathGenerator> [DEBUG]:	(Movement: 178.47 px)
13.33601 <client sender> [STATUS]:	(create rotate -1.49050951151188)
13.33601 <client sender> [COMMAND]:	(sending command rotate 28.466634777912237)
13.33601 <client sender> [STATUS]:	(has ball False)
13.52082 <client reciever> [RESPONSE]:	(modified OK ball lost)
13.52082 <client reciever> [STATUS]:	(Ball lost)
13.52082 <client Loop> [FPS]:	(4.517801151449545)
13.52082 <client Loop> [STATUS]:	(generating frame)
13.55706 <pathGenerator> [DEBUG]:	(found destination)
13.55706 <pathGenerator> [DEBUG]:	(Target: (163.50, 148.50))
13.55706 <pathGenerator> [DEBUG]:	(From:   (202.00, 173.00))
13.55706 <pathGenerator> [DEBUG]:	(Angle to target: -2.71 rad)
13.55706 <pathGenerator> [DEBUG]:	(Rotation applied: -0.16 rad)
13.55706 <pathGenerator> [DEBUG]:	(Movement: 48.20 px)
13.56063 <client sender> [STATUS]:	(create rotate -0.16273697728302805)
13.56063 <client sender> [COMMAND]:	(sending command rotate 3.1080473230112875)
13.56063 <client sender> [STATUS]:	(has ball False)
13.76621 <client reciever> [RESPONSE]:	(modified OK)
13.76621 <client Loop> [FPS]:	(4.075166507163087)
13.76621 <client Loop> [STATUS]:	(generating frame)
13.79931 <pathGenerator> [DEBUG]:	(adjusted target)
13.79931 <pathGenerator> [DEBUG]:	(Target: (163.50, 151.50))
13.79931 <pathGenerator> [DEBUG]:	(From:   (208.00, 152.00))
13.79931 <pathGenerator> [DEBUG]:	(Angle to target: -2.80 rad)
13.79931 <pathGenerator> [DEBUG]:	(Rotation applied: 0.34 rad)
13.79931 <pathGenerator> [DEBUG]:	(Movement: 56.30 px)
13.80256 <client sender> [STATUS]:	(create rotate 0.34475055740993676)
13.80256 <client sender> [COMMAND]:	(sending command rotate -6.584250641457323)
13.80256 <client sender> [STATUS]:	(has ball False)
13.84330 <client reciever> [RESPONSE]:	(modified OK)
13.84426 <client Loop> [FPS]:	(12.813021044946188)
13.84426 <client Loop> [STATUS]:	(generating frame)
13.88184 <pathGenerator> [DEBUG]:	(adjusted target)
13.88184 <pathGenerator> [DEBUG]:	(Target: (174.50, 298.50))
13.88184 <pathGenerator> [DEBUG]:	(From:   (211.00, 168.00))
13.88184 <pathGenerator> [DEBUG]:	(Angle to target: 1.50 rad)
13.88184 <pathGenerator> [DEBUG]:	(Rotation applied: -1.50 rad)
13.88184 <pathGenerator> [DEBUG]:	(Movement: 176.49 px)
13.88484 <client sender> [STATUS]:	(create rotate -1.4981275777973797)
13.88484 <client sender> [COMMAND]:	(sending command rotate 28.61212912664892)
13.88484 <client sender> [STATUS]:	(has ball False)
13.99756 <client reciever> [RESPONSE]:	(modified OK)
13.99756 <client Loop> [FPS]:	(6.523134921437225)
13.99756 <client Loop> [STATUS]:	(generating frame)
14.03343 <pathGenerator> [DEBUG]:	(adjusted target)
14.03343 <pathGenerator> [DEBUG]:	(Target: (174.50, 298.50))
14.03343 <pathGenerator> [DEBUG]:	(From:   (210.00, 170.00))
14.03343 <pathGenerator> [DEBUG]:	(Angle to target: 1.49 rad)
14.03343 <pathGenerator> [DEBUG]:	(Rotation applied: -1.40 rad)
14.03343 <pathGenerator> [DEBUG]:	(Movement: 177.21 px)
14.03677 <client sender> [STATUS]:	(create rotate -1.4049779647679452)
14.03677 <client sender> [COMMAND]:	(sending command rotate 26.83310256336111)
14.03677 <client sender> [STATUS]:	(has ball False)
14.39548 <client reciever> [RESPONSE]:	(modified OK)
14.39548 <client Loop> [FPS]:	(2.513027973234657)
14.39548 <client Loop> [STATUS]:	(generating frame)
14.42954 <pathGenerator> [DEBUG]:	(adjusted target)
14.42954 <pathGenerator> [DEBUG]:	(Target: (174.50, 298.50))
14.42954 <pathGenerator> [DEBUG]:	(From:   (163.00, 165.00))
14.42954 <pathGenerator> [DEBUG]:	(Angle to target: 1.69 rad)
14.42954 <pathGenerator> [DEBUG]:	(Rotation applied: 0.81 rad)
14.42954 <pathGenerator> [DEBUG]:	(Movement: 164.09 px)
14.43203 <client sender> [STATUS]:	(create rotate 0.8085147605538576)
14.43203 <client sender> [COMMAND]:	(sending command rotate -15.441494484588793)
14.43203 <client sender> [STATUS]:	(has ball False)
14.72249 <client reciever> [RESPONSE]:	(modified OK)
14.72249 <client Loop> [FPS]:	(3.0580491439687014)
14.72249 <client Loop> [STATUS]:	(generating frame)
14.75553 <pathGenerator> [DEBUG]:	(adjusted target)
14.75553 <pathGenerator> [DEBUG]:	(Target: (174.50, 298.50))
14.75553 <pathGenerator> [DEBUG]:	(From:   (170.00, 143.00))
14.75553 <pathGenerator> [DEBUG]:	(Angle to target: 1.70 rad)
14.75553 <pathGenerator> [DEBUG]:	(Rotation applied: 1.44 rad)
14.75553 <pathGenerator> [DEBUG]:	(Movement: 181.11 px)
14.75854 <client sender> [STATUS]:	(create rotate 1.4397194089760388)
14.75854 <client sender> [COMMAND]:	(sending command rotate -27.496615272465437)
14.75854 <client sender> [STATUS]:	(has ball False)
14.96612 <client reciever> [RESPONSE]:	(modified OK)
14.96612 <client Loop> [FPS]:	(4.104505625916206)
14.96612 <client Loop> [STATUS]:	(generating frame)
14.99995 <pathGenerator> [DEBUG]:	(adjusted target)
14.99995 <pathGenerator> [DEBUG]:	(Target: (174.50, 298.50))
14.99995 <pathGenerator> [DEBUG]:	(From:   (171.00, 139.00))
14.99995 <pathGenerator> [DEBUG]:	(Angle to target: 1.72 rad)
14.99995 <pathGenerator> [DEBUG]:	(Rotation applied: 1.60 rad)
14.99995 <pathGenerator> [DEBUG]:	(Movement: 183.69 px)
15.00307 <client sender> [STATUS]:	(create rotate 1.6029605627394332)
15.00307 <client sender> [COMMAND]:	(sending command rotate -30.614291656961644)
15.00307 <client sender> [STATUS]:	(has ball False)
15.30530 <client reciever> [RESPONSE]:	(modified OK)
15.30630 <client Loop> [FPS]:	(2.939682699882533)
15.30630 <client Loop> [STATUS]:	(generating frame)
15.33960 <pathGenerator> [DEBUG]:	(adjusted target)
15.33960 <pathGenerator> [DEBUG]:	(Target: (174.50, 298.50))
15.33960 <pathGenerator> [DEBUG]:	(From:   (171.00, 136.00))
15.33960 <pathGenerator> [DEBUG]:	(Angle to target: 1.56 rad)
15.33960 <pathGenerator> [DEBUG]:	(Rotation applied: 3.08 rad)
15.33960 <pathGenerator> [DEBUG]:	(Movement: 106.69 px)
15.34260 <client sender> [STATUS]:	(create rotate 3.081437142830117)
15.34260 <client sender> [COMMAND]:	(sending command rotate -58.85111437300558)
15.34260 <client sender> [STATUS]:	(has ball False)
15.69129 <client reciever> [RESPONSE]:	(modified OK)
15.69229 <client Loop> [FPS]:	(2.5906853268140586)
15.69229 <client Loop> [STATUS]:	(generating frame)
15.72832 <pathGenerator> [DEBUG]:	(adjusted target)
15.72832 <pathGenerator> [DEBUG]:	(Target: (174.50, 298.50))
15.72832 <pathGenerator> [DEBUG]:	(From:   (198.00, 166.00))
15.72832 <pathGenerator> [DEBUG]:	(Angle to target: 1.62 rad)
15.72832 <pathGenerator> [DEBUG]:	(Rotation applied: -0.50 rad)
15.72832 <pathGenerator> [DEBUG]:	(Movement: 148.86 px)
15.73232 <client sender> [STATUS]:	(create rotate -0.49673932835473433)
15.73232 <client sender> [COMMAND]:	(sending command rotate 9.487022344296486)
15.73232 <client sender> [STATUS]:	(has ball False)
16.35164 <client reciever> [RESPONSE]:	(modified OK)
16.35164 <client Loop> [FPS]:	(1.5166623696475443)
16.35164 <client Loop> [STATUS]:	(generating frame)
16.44951 <pathGenerator> [DEBUG]:	(adjusted target)
16.44951 <pathGenerator> [DEBUG]:	(Target: (174.50, 298.50))
16.44951 <pathGenerator> [DEBUG]:	(From:   (163.00, 169.00))
16.45060 <pathGenerator> [DEBUG]:	(Angle to target: 1.68 rad)
16.45060 <pathGenerator> [DEBUG]:	(Rotation applied: 0.75 rad)
16.45060 <pathGenerator> [DEBUG]:	(Movement: 157.22 px)
16.46477 <client sender> [STATUS]:	(create rotate 0.7465493012875959)
16.46515 <client sender> [COMMAND]:	(sending command rotate -14.258041387406585)
16.46515 <client sender> [STATUS]:	(has ball False)
16.55269 <client reciever> [RESPONSE]:	(modified OK)
16.55269 <client Loop> [FPS]:	(4.9737385715471545)
16.55269 <client Loop> [STATUS]:	(generating frame)
16.65229 <pathGenerator> [DEBUG]:	(adjusted target)
16.65229 <pathGenerator> [DEBUG]:	(Target: (174.50, 298.50))
16.65300 <pathGenerator> [DEBUG]:	(From:   (166.00, 163.00))
16.65300 <pathGenerator> [DEBUG]:	(Angle to target: 1.64 rad)
16.65300 <pathGenerator> [DEBUG]:	(Rotation applied: 0.72 rad)
16.65300 <pathGenerator> [DEBUG]:	(Movement: 153.55 px)
16.66837 <client sender> [STATUS]:	(create rotate 0.7175413405411444)
16.66837 <client sender> [COMMAND]:	(sending command rotate -13.704030146388975)
16.66837 <client sender> [STATUS]:	(has ball False)
16.78590 <client reciever> [RESPONSE]:	(modified OK)
16.78590 <client Loop> [FPS]:	(4.288097557883588)
16.78590 <client Loop> [STATUS]:	(generating frame)
16.87204 <pathGenerator> [DEBUG]:	(adjusted target)
16.87204 <pathGenerator> [DEBUG]:	(Target: (174.50, 298.50))
16.87204 <pathGenerator> [DEBUG]:	(From:   (202.00, 145.00))
16.87204 <pathGenerator> [DEBUG]:	(Angle to target: 1.51 rad)
16.87204 <pathGenerator> [DEBUG]:	(Rotation applied: -1.57 rad)
16.87204 <pathGenerator> [DEBUG]:	(Movement: 187.79 px)
16.88769 <client sender> [STATUS]:	(create rotate -1.5702479810264234)
16.88769 <client sender> [COMMAND]:	(sending command rotate 29.989527367250876)
16.88769 <client sender> [STATUS]:	(has ball False)
17.00149 <client reciever> [RESPONSE]:	(modified OK)
17.00149 <client Loop> [FPS]:	(4.638382766018623)
17.00149 <client Loop> [STATUS]:	(generating frame)
17.09412 <pathGenerator> [DEBUG]:	(adjusted target)
17.09412 <pathGenerator> [DEBUG]:	(Target: (174.50, 298.50))
17.09412 <pathGenerator> [DEBUG]:	(From:   (166.00, 147.00))
17.09412 <pathGenerator> [DEBUG]:	(Angle to target: 1.72 rad)
17.09412 <pathGenerator> [DEBUG]:	(Rotation applied: 2.23 rad)
17.09412 <pathGenerator> [DEBUG]:	(Movement: 140.05 px)
17.09848 <client sender> [STATUS]:	(create rotate 2.225682338251141)
17.09848 <client sender> [COMMAND]:	(sending command rotate -42.50740150619962)
17.09912 <client sender> [STATUS]:	(has ball False)
17.38838 <client reciever> [RESPONSE]:	(modified OK)
17.38838 <client Loop> [FPS]:	(2.5847208099930365)
17.38838 <client Loop> [STATUS]:	(generating frame)
17.47214 <pathGenerator> [DEBUG]:	(adjusted target)
17.47214 <pathGenerator> [DEBUG]:	(Target: (174.50, 298.50))
17.47315 <pathGenerator> [DEBUG]:	(From:   (166.00, 149.00))
17.47315 <pathGenerator> [DEBUG]:	(Angle to target: 1.73 rad)
17.47315 <pathGenerator> [DEBUG]:	(Rotation applied: 2.16 rad)
17.47315 <pathGenerator> [DEBUG]:	(Movement: 143.88 px)
17.48748 <client sender> [STATUS]:	(create rotate 2.1625724973363996)
17.48748 <client sender> [COMMAND]:	(sending command rotate -41.30209232948072)
17.48748 <client sender> [STATUS]:	(has ball False)
17.89264 <client reciever> [RESPONSE]:	(modified OK)
17.89264 <client Loop> [FPS]:	(1.9830765150121819)
17.89264 <client Loop> [STATUS]:	(generating frame)
17.97882 <pathGenerator> [DEBUG]:	(adjusted target)
17.97882 <pathGenerator> [DEBUG]:	(Target: (174.50, 298.50))
17.97882 <pathGenerator> [DEBUG]:	(From:   (165.00, 148.00))
17.97882 <pathGenerator> [DEBUG]:	(Angle to target: 1.71 rad)
17.97882 <pathGenerator> [DEBUG]:	(Rotation applied: 2.22 rad)
17.97882 <pathGenerator> [DEBUG]:	(Movement: 140.22 px)
17.99457 <client sender> [STATUS]:	(create rotate 2.2154312219504364)
17.99457 <client sender> [COMMAND]:	(sending command rotate -42.311619606423584)
17.99457 <client sender> [STATUS]:	(has ball False)
18.38104 <client reciever> [RESPONSE]:	(modified OK)
18.38104 <client Loop> [FPS]:	(2.047536105101188)
18.38104 <client Loop> [STATUS]:	(generating frame)
18.46724 <pathGenerator> [DEBUG]:	(adjusted target)
18.46724 <pathGenerator> [DEBUG]:	(Target: (174.50, 298.50))
18.46724 <pathGenerator> [DEBUG]:	(From:   (200.00, 147.00))
18.46724 <pathGenerator> [DEBUG]:	(Angle to target: 1.74 rad)
18.46724 <pathGenerator> [DEBUG]:	(Rotation applied: 3.14 rad)
18.46724 <pathGenerator> [DEBUG]:	(Movement: 129.30 px)
18.48294 <client sender> [STATUS]:	(create rotate 3.1398494827813357)
18.48294 <client sender> [COMMAND]:	(sending command rotate -59.96670788990166)
18.48294 <client sender> [STATUS]:	(has ball False)
18.87124 <client reciever> [RESPONSE]:	(modified OK)
18.87254 <client Loop> [FPS]:	(2.034561759317244)
18.87254 <client Loop> [STATUS]:	(generating frame)
18.98072 <pathGenerator> [DEBUG]:	(adjusted target)
18.98072 <pathGenerator> [DEBUG]:	(Target: (174.50, 298.50))
18.98072 <pathGenerator> [DEBUG]:	(From:   (218.00, 129.00))
18.98072 <pathGenerator> [DEBUG]:	(Angle to target: 1.91 rad)
18.98170 <pathGenerator> [DEBUG]:	(Rotation applied: 0.45 rad)
18.98170 <pathGenerator> [DEBUG]:	(Movement: 185.74 px)
18.99599 <client sender> [STATUS]:	(create rotate 0.4497596130698389)
18.99599 <client sender> [COMMAND]:	(sending command rotate -8.58977587477957)
18.99599 <client sender> [STATUS]:	(has ball False)
19.53386 <client reciever> [RESPONSE]:	(modified OK)
19.53386 <client Loop> [FPS]:	(1.512137684686263)
19.53386 <client Loop> [STATUS]:	(generating frame)
19.63515 <pathGenerator> [DEBUG]:	(adjusted target)
19.63515 <pathGenerator> [DEBUG]:	(Target: (174.50, 298.50))
19.63612 <pathGenerator> [DEBUG]:	(From:   (205.00, 183.00))
19.63612 <pathGenerator> [DEBUG]:	(Angle to target: 1.58 rad)
19.63612 <pathGenerator> [DEBUG]:	(Rotation applied: -0.85 rad)
19.63612 <pathGenerator> [DEBUG]:	(Movement: 151.57 px)
19.65065 <client sender> [STATUS]:	(create rotate -0.8504899292939868)
19.65065 <client sender> [COMMAND]:	(sending command rotate 16.243161155641747)
19.65065 <client sender> [STATUS]:	(has ball False)
19.67481 <client reciever> [RESPONSE]:	(modified OK)
19.67537 <client Loop> [FPS]:	(7.066780787297565)
19.67537 <client Loop> [STATUS]:	(generating frame)
19.77537 <pathGenerator> [DEBUG]:	(adjusted target)
19.77537 <pathGenerator> [DEBUG]:	(Target: (174.50, 298.50))
19.77537 <pathGenerator> [DEBUG]:	(From:   (184.00, 138.00))
19.77537 <pathGenerator> [DEBUG]:	(Angle to target: 1.55 rad)
19.77636 <pathGenerator> [DEBUG]:	(Rotation applied: -0.24 rad)
19.77636 <pathGenerator> [DEBUG]:	(Movement: 166.38 px)
19.79099 <client sender> [STATUS]:	(create rotate -0.2426268545118735)
19.79099 <client sender> [COMMAND]:	(sending command rotate 4.633831586688335)
19.79099 <client sender> [STATUS]:	(has ball False)
19.93686 <client reciever> [RESPONSE]:	(modified OK)
19.93802 <client Loop> [FPS]:	(3.807344537891407)
19.93802 <client Loop> [STATUS]:	(generating frame)
20.04028 <pathGenerator> [DEBUG]:	(adjusted target)
20.04028 <pathGenerator> [DEBUG]:	(Target: (174.50, 298.50))
20.04028 <pathGenerator> [DEBUG]:	(From:   (173.00, 123.00))
20.04028 <pathGenerator> [DEBUG]:	(Angle to target: 1.50 rad)
20.04129 <pathGenerator> [DEBUG]:	(Rotation applied: -0.35 rad)
20.04129 <pathGenerator> [DEBUG]:	(Movement: 181.89 px)
20.05607 <client sender> [STATUS]:	(create rotate -0.35063302789369755)
20.05607 <client sender> [COMMAND]:	(sending command rotate 6.696597552067246)
20.05607 <client sender> [STATUS]:	(has ball False)
20.05607 <client reciever> [RESPONSE]:	(modified OK)
20.05607 <client Loop> [FPS]:	(8.470671869067527)
20.05607 <client Loop> [STATUS]:	(generating frame)
20.16453 <pathGenerator> [DEBUG]:	(adjusted target)
20.16453 <pathGenerator> [DEBUG]:	(Target: (174.50, 298.50))
20.16453 <pathGenerator> [DEBUG]:	(From:   (157.00, 95.00))
20.16453 <pathGenerator> [DEBUG]:	(Angle to target: 1.77 rad)
20.16553 <pathGenerator> [DEBUG]:	(Rotation applied: 2.23 rad)
20.16553 <pathGenerator> [DEBUG]:	(Movement: 183.62 px)
20.18042 <client sender> [STATUS]:	(create rotate 2.2290604969257126)
20.18042 <client sender> [COMMAND]:	(sending command rotate -42.57191958439245)
20.18042 <client sender> [STATUS]:	(has ball False)
20.26500 <client reciever> [RESPONSE]:	(modified OK)
20.26500 <client Loop> [FPS]:	(4.7863026266840425)
20.26500 <client Loop> [STATUS]:	(generating frame)
20.34959 <pathGenerator> [DEBUG]:	(adjusted target)
20.34959 <pathGenerator> [DEBUG]:	(Target: (174.50, 298.50))
20.35059 <pathGenerator> [DEBUG]:	(From:   (162.00, 93.00))
20.35059 <pathGenerator> [DEBUG]:	(Angle to target: 1.78 rad)
20.35059 <pathGenerator> [DEBUG]:	(Rotation applied: 2.28 rad)
20.35059 <pathGenerator> [DEBUG]:	(Movement: 176.88 px)
20.36490 <client sender> [STATUS]:	(create rotate 2.282198366491528)
20.36490 <client sender> [COMMAND]:	(sending command rotate -43.58677813720507)
20.36490 <client sender> [STATUS]:	(has ball False)
20.79923 <client reciever> [RESPONSE]:	(modified OK)
20.80024 <client Loop> [FPS]:	(1.8683284705672731)
20.80024 <client Loop> [STATUS]:	(generating frame)
20.88575 <pathGenerator> [DEBUG]:	(adjusted target)
20.88575 <pathGenerator> [DEBUG]:	(Target: (174.50, 298.50))
20.88678 <pathGenerator> [DEBUG]:	(From:   (165.00, 92.00))
20.88678 <pathGenerator> [DEBUG]:	(Angle to target: 1.78 rad)
20.88678 <pathGenerator> [DEBUG]:	(Rotation applied: 2.34 rad)
20.88678 <pathGenerator> [DEBUG]:	(Movement: 168.59 px)
20.90110 <client sender> [STATUS]:	(create rotate 2.336611963658836)
20.90110 <client sender> [COMMAND]:	(sending command rotate -44.62600129247566)
20.90110 <client sender> [STATUS]:	(has ball False)
21.30249 <client reciever> [RESPONSE]:	(modified OK)
21.30249 <client Loop> [FPS]:	(1.9910348215959879)
21.30335 <client Loop> [STATUS]:	(generating frame)
21.40348 <pathGenerator> [DEBUG]:	(adjusted target)
21.40348 <pathGenerator> [DEBUG]:	(Target: (174.50, 298.50))
21.40448 <pathGenerator> [DEBUG]:	(From:   (177.00, 142.00))
21.40448 <pathGenerator> [DEBUG]:	(Angle to target: 1.44 rad)
21.40448 <pathGenerator> [DEBUG]:	(Rotation applied: -0.48 rad)
21.40448 <pathGenerator> [DEBUG]:	(Movement: 175.57 px)
21.41924 <client sender> [STATUS]:	(create rotate -0.4822393074135731)
21.41924 <client sender> [COMMAND]:	(sending command rotate 9.21009234336987)
21.41924 <client sender> [STATUS]:	(has ball False)
21.81693 <client reciever> [RESPONSE]:	(modified OK)
21.81693 <client Loop> [FPS]:	(1.9470997326529655)
21.81818 <client Loop> [STATUS]:	(generating frame)
21.89468 <pathGenerator> [DEBUG]:	(adjusted target)
21.89468 <pathGenerator> [DEBUG]:	(Target: (174.50, 298.50))
21.89468 <pathGenerator> [DEBUG]:	(From:   (128.00, 121.00))
21.89468 <pathGenerator> [DEBUG]:	(Angle to target: 1.72 rad)
21.89468 <pathGenerator> [DEBUG]:	(Rotation applied: 1.71 rad)
21.89468 <pathGenerator> [DEBUG]:	(Movement: 229.31 px)
21.90982 <client sender> [STATUS]:	(create rotate 1.7132069480747854)
21.90982 <client sender> [COMMAND]:	(sending command rotate -32.719842519057856)
21.90982 <client sender> [STATUS]:	(has ball False)
22.01904 <client reciever> [RESPONSE]:	(modified OK)
22.01985 <client Loop> [FPS]:	(4.958509481250296)
22.01985 <client Loop> [STATUS]:	(generating frame)
22.13015 <pathGenerator> [DEBUG]:	(adjusted target)
22.13015 <pathGenerator> [DEBUG]:	(Target: (174.50, 298.50))
22.13015 <pathGenerator> [DEBUG]:	(From:   (178.00, 145.00))
22.13115 <pathGenerator> [DEBUG]:	(Angle to target: 1.76 rad)
22.13115 <pathGenerator> [DEBUG]:	(Rotation applied: 1.71 rad)
22.13115 <pathGenerator> [DEBUG]:	(Movement: 172.59 px)
22.14530 <client sender> [STATUS]:	(create rotate 1.7057469512993997)
22.14530 <client sender> [COMMAND]:	(sending command rotate -32.577367075587595)
22.14530 <client sender> [STATUS]:	(has ball False)
22.45476 <client reciever> [RESPONSE]:	(modified OK)
22.45476 <client Loop> [FPS]:	(2.299339851129358)
22.45476 <client Loop> [STATUS]:	(generating frame)
22.56396 <pathGenerator> [DEBUG]:	(adjusted target)
22.56396 <pathGenerator> [DEBUG]:	(Target: (174.50, 298.50))
22.56396 <pathGenerator> [DEBUG]:	(From:   (115.00, 150.00))
22.56496 <pathGenerator> [DEBUG]:	(Angle to target: 1.69 rad)
22.56496 <pathGenerator> [DEBUG]:	(Rotation applied: 1.71 rad)
22.56496 <pathGenerator> [DEBUG]:	(Movement: 205.14 px)
22.57922 <client sender> [STATUS]:	(create rotate 1.7113561074214356)
22.57922 <client sender> [COMMAND]:	(sending command rotate -32.68449406639513)
22.57922 <client sender> [STATUS]:	(has ball False)
22.84859 <client reciever> [RESPONSE]:	(modified OK)
22.84859 <client Loop> [FPS]:	(2.5391816242925285)
22.84958 <client Loop> [STATUS]:	(generating frame)
22.93928 <pathGenerator> [DEBUG]:	(adjusted target)
22.93928 <pathGenerator> [DEBUG]:	(Target: (174.50, 298.50))
22.93928 <pathGenerator> [DEBUG]:	(From:   (116.00, 153.00))
22.93928 <pathGenerator> [DEBUG]:	(Angle to target: 1.70 rad)
22.93928 <pathGenerator> [DEBUG]:	(Rotation applied: 1.65 rad)
22.94028 <pathGenerator> [DEBUG]:	(Movement: 206.56 px)
22.95520 <client sender> [STATUS]:	(create rotate 1.6542486264653453)
22.95520 <client sender> [COMMAND]:	(sending command rotate -31.59382152059257)
22.95520 <client sender> [STATUS]:	(has ball False)
23.24629 <client reciever> [RESPONSE]:	(modified OK)
23.24629 <client Loop> [FPS]:	(2.520725969348415)
23.24629 <client Loop> [STATUS]:	(generating frame)
23.34969 <pathGenerator> [DEBUG]:	(adjusted target)
23.34969 <pathGenerator> [DEBUG]:	(Target: (174.50, 298.50))
23.34969 <pathGenerator> [DEBUG]:	(From:   (166.00, 163.00))
23.34969 <pathGenerator> [DEBUG]:	(Angle to target: 1.13 rad)
23.34969 <pathGenerator> [DEBUG]:	(Rotation applied: -1.29 rad)
23.35117 <pathGenerator> [DEBUG]:	(Movement: 186.42 px)
23.36588 <client sender> [STATUS]:	(create rotate -1.289763994958385)
23.36588 <client sender> [COMMAND]:	(sending command rotate 24.632677826349283)
23.36588 <client sender> [STATUS]:	(has ball False)
23.63387 <client reciever> [RESPONSE]:	(modified OK)
23.63387 <client Loop> [FPS]:	(2.5801304981431668)
23.63387 <client Loop> [STATUS]:	(generating frame)
23.73187 <pathGenerator> [DEBUG]:	(adjusted target)
23.73187 <pathGenerator> [DEBUG]:	(Target: (174.50, 298.50))
23.73187 <pathGenerator> [DEBUG]:	(From:   (169.00, 170.00))
23.73287 <pathGenerator> [DEBUG]:	(Angle to target: 1.11 rad)
23.73287 <pathGenerator> [DEBUG]:	(Rotation applied: -1.59 rad)
23.73287 <pathGenerator> [DEBUG]:	(Movement: 168.35 px)
23.74745 <client sender> [STATUS]:	(create rotate -1.5937940917404496)
23.74745 <client sender> [COMMAND]:	(sending command rotate 30.43922495653803)
23.74745 <client sender> [STATUS]:	(has ball False)
23.97813 <client reciever> [RESPONSE]:	(modified OK)
23.97915 <client Loop> [FPS]:	(2.8962267538371878)
23.97915 <client Loop> [STATUS]:	(generating frame)
